/work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Bottle_Cap_1704.png | Pred: 1 | True: 0
/work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Broken_Glass_917.png | Pred: 1 | True: 0
/work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Broken_glass_cup_1037.png | Pred: 1 | True: 0
/work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Comb_1715.png | Pred: 3 | True: 0
/work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Deoderant_Container_114.png | Pred: 3 | True: 0
/work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Dirty_Tinfoil_920.png | Pred: 1 | True: 0
/work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Full_Lip_Balm_926.png | Pred: 3 | True: 0
/work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Kleenex_Box_74.png | Pred: 1 | True: 0
/work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/LightBulb_132.png | Pred: 3 | True: 0
/work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Lightbulb_934.png | Pred: 1 | True: 0
/work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Lighter_935.png | Pred: 1 | True: 0
/work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Mio_container_314.png | Pred: 1 | True: 0
/work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Non-stretchy_bag_of_rice_2681.png | Pred: 1 | True: 0
/work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Old_Mechanical_Pencile_1735.png | Pred: 3 | True: 0
/work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Pen_1737.png | Pred: 3 | True: 0
/work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Plastic_Wrapper_2513.png | Pred: 1 | True: 0
/work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Plastic_tape_dispenser_2802.png | Pred: 1 | True: 0
/work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Soiled_Cling_Wrap_953.png | Pred: 1 | True: 0
/work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Styrofoam_Packaging_141.png | Pred: 1 | True: 0
/work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Take_Out_Sauce_Container_143.png | Pred: 1 | True: 0
/work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Used_Aluminium_Foil_1699.png | Pred: 1 | True: 0
/work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Used_Deoderant_632.png | Pred: 1 | True: 0
/work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Used_Sponge_634.png | Pred: 2 | True: 0
/work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Used_candle_630.png | Pred: 1 | True: 0
/work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Used_empty_pen_633.png | Pred: 3 | True: 0
/work/TALC/ensf617_2026w/garbage_data/CVPR_2024_dataset_Test/Black/Yogurt_Container_Foil_Lid_153.png | Pred: 1 | True: 0
